id,title,year,runtime
tt0003540,"When the Earth Trembled",1913,
tt0003545,"Who Will Marry Mary?",1913,
tt0003561,"With General Pancho Villa in Mexico",1913,
tt0003565,"Where Is Coletti?",1913,86
tt0003583,"Äktenskapsbyrån",1913,
tt0003584,"The $5,000,000 Counterfeiting Plot",1914,
tt0003587,"'Round the World in 80 Days",1914,
tt0003589,"0-18 or A Message from the Sky",1914,
tt0003590,"A 300 éves ember",1914,
tt0003591,Absinthe,1914,
tt0003593,"Across America by Motor Car",1914,
tt0003595,"Across the Pacific",1914,
tt0003596,"The Active Life of Dolly of the Dailies",1914,
tt0003597,Adoptivkind,1914,
tt0003598,"The Adventures of Andy Clark",1914,
tt0003599,"The Adventures of Buffalo Bill",1917,
tt0003600,"The Adventures of Kitty Cobb",1914,
tt0003602,"The Adventures of a Diplomatic Freelance",1914,
tt0003605,"After the Ball",1914,
tt0003606,Aftermath,1914,
tt0003608,"El alcalde de Zalamea",1914,
tt0003609,Alexandra,1915,
tt0003610,"Alexia o La niña del misterio",1916,
tt0003613,"Alone in New York",1914,
tt0003617,America,1914,
tt0003618,"An American Citizen",1914,
tt0003619,"Amigas siempre",1914,
tt0003622,"Love of Perdition",1914,
tt0003623,"Amor de pescadora",1914,
tt0003625,"Anna Karenina",1914,
tt0003629,"Apuntes de la fiesta de la flor",1914,
tt0003630,Golddigger,1914,
tt0003631,Aristocracy,1914,
tt0003632,"Arme Eva",1914,
tt0003634,"As Ye Sow",1914,50
tt0003637,"Assunta Spina",1915,72
tt0003639,"At the Cross Roads",1914,
tt0003643,"The Avenging Conscience: or 'Thou Shalt Not Kill'",1914,78
tt0003651,Badehotellet,1915,
tt0003654,"Bandits of the Border Mine",1914,
tt0003655,"The Banker's Daughter",1914,
tt0003657,"The Bargain",1914,70
tt0003658,"Barnyard Flirtations",1914,
tt0003663,"Battle of Gettysgoat",1914,
tt0003664,"The Battle of Love",1914,
tt0003665,"The Battle of the Sexes",1914,50
tt0003668,"Beating Back",1914,60
tt0003669,"A becsapott újságíró",1915,
tt0003670,"Behind the Scenes",1914,75
tt0003672,"La Belle Russe",1914,
tt0003675,"The Beloved Adventurer",1914,450
tt0003676,"Beneath the Czar",1914,
tt0003677,"The Better Man",1914,
tt0003685,"Det blaa vidunder",1915,
tt0003686,"The Boer War",1914,
tt0003688,"The Book of Nature",1914,
tt0003689,"Born Again",1914,
tt0003692,"The Boundary Rider",1914,
tt0003693,"A Boy and the Law",1914,
tt0003694,"Bra flicka reder sig själv",1914,
tt0003698,"Brewster's Millions",1914,
tt0003724,"In the Days of the Thundering Herd",1914,48
tt0003730,"The Burglar and the Lady",1914,
tt0003731,"Burning Daylight: The Adventures of 'Burning Daylight' in Alaska",1914,50
tt0003732,"Burning Daylight: The Adventures of 'Burning Daylight' in Civilization",1914,50
tt0003735,"Bánk bán",1915,
tt0003736,C.O.D.,1914,
tt0003737,"Cabalgata de los mercados en Barcelona",1914,
tt0003738,"El caballero Casarroja",1914,
tt0003740,Cabiria,1914,148
tt0003742,"Calatayud en fiestas",1914,
tt0003743,"The Call of the North",1914,
tt0003744,"Called Back",1914,
tt0003746,"El calvario de un héroe",1914,
tt0003747,"Cameo Kirby",1914,50
tt0003748,"Captain Alvarez",1914,
tt0003749,"The Captain Besley Expedition",1914,
tt0003750,"Captain F.E. Kleinschmidt's Arctic Hunt",1914,
tt0003752,"Captain Swift",1914,
tt0003754,"The Capture of a Sea Elephant and Hunting Wild Game in the South Pacific Islands",1914,
tt0003756,"Cardinal Richelieu's Ward",1914,
tt0003757,"Catástrofe de Aguilón",1914,
tt0003761,"A Celebrated Case",1914,
tt0003763,"Charlotte Corday",1914,
tt0003764,"La chavala",1914,
tt0003765,"The Chechako",1914,
tt0003768,"The Chimes",1914,
tt0003771,"The Christian",1914,
tt0003772,Cinderella,1914,52
tt0003774,"The Circus Man",1914,50
tt0003778,Clothes,1914,
tt0003779,"Cocaine Traffic; Or, The Drug Terror",1914,
tt0003780,"The Coliseum in Films",1914,
tt0003790,"The Coming Power",1914,
tt0003791,"Common Beasts of Africa",1914,
tt0003792,"The Conspiracy",1914,
tt0003798,"The Country Mouse",1914,
tt0003799,"The County Chairman",1914,
tt0003802,"The Criminal Code",1914,
tt0003804,"The Crucible",1914,
tt0003806,Crushed,1914,
tt0003807,"El cuervo del campamento",1914,
tt0003808,"La cueva vengadora",1914,
tt0003815,"Damaged Goods",1914,
tt0003816,"Damon and Pythias",1914,100
tt0003817,Dan,1914,
tt0003819,"Dance of the Vampire",1914,
tt0003820,"The Dancer and the King",1914,
tt0003822,"La danza fatal",1915,58
tt0003825,"The Daughters of Men",1914,
tt0003827,"The Day of Days",1914,
tt0003830,"Detective Craig's Coup",1914,
tt0003831,"The Detective Queen",1914,
tt0003832,"La deuda del pasado",1914,
tt0003836,"Diego Corrientes",1914,
tt0003838,"The Dishonored Medal",1914,
tt0003840,Doc,1914,
tt0003854,"Dodge City Trail",1936,56
tt0003856,"The Dollar Mark",1914,50
tt0003859,Dope,1914,
tt0003866,"Un drama en Aragón",1914,
tt0003867,"Un drama en la montaña",1914,
tt0003869,"The Dream Woman",1914,
tt0003870,"Dömen icke",1914,
tt0003871,"The Eagle's Mate",1914,
tt0003874,"La echadora de cartas",1914,
tt0003875,"The Education of Mr. Pipp",1914,
tt0003877,"Elizabeth's Prayer",1914,
tt0003878,"O Embarque das Tropas Expedicionárias para Angola e Moçambique",1914,
tt0003880,"En av de många",1915,
tt0003883,"L'enfant de Paris",1913,100
tt0003884,Engelein,1914,49
tt0003886,"Enoch Arden",1914,
tt0003887,"Entre ruinas",1914,
tt0003888,"The Envoy Extraordinary",1914,
tt0003889,"Erstarrte Liebe",1914,
tt0003890,"The Escape",1914,
tt0003891,"Escaped from Siberia",1914,
tt0003893,"Even Unto Death",1914,
tt0003897,"The Exploits of Elaine",1914,
tt0003924,"Facing the Gattling Guns",1914,
tt0003925,"A Factory Magdalen",1914,
tt0003927,"A False Beauty",1914,
